Ticker,Nom,SUB_IND_GICS,IND_GICS,REGION_NAME,CUR_MKT_CAP,CURR_ENTP_VAL,NET_INCOME_FIRM,SALES_REV_TURN,NET_REV,GROSS_PROFIT,EBIT,EBITDA,NET_DEBT,CURRENT_EV_TO_T12M_EBIT,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,TRAIL_12M_NET_SALES,CURRENT_EV_TO_12M_SALES,PE_RATIO,NUM_OF_EMPLOYEES,SUSTAIN_GROWTH_RT,PROF_MARGIN,Unnamed: 23
WIRE,Encore Wire Corp,Electrical Components & Equipment,Industrials,United States,2409629403.0,1970.639403,541.7246836,2592.721,,867.746,699.203,722.491,-438.99,2.818408105,2.727562561,0.938605314,2592.721,0.760066125,4.541364954,1140.0,49.60254499,20.88238573,
WRLD,World Acceptance Corp,Consumer Finance,Financials,United States,1118680631.0,1908.153238,,525.533267,499.834431,,137.102263,177.49931,480.979121,19.05932101,11.55278628,1.884858914,562.338073,3.393249238,13.26255722,3175.0,20.93582044,16.79871352,
WSO,Watsco Inc,Trading Companies & Distributors,Industrials,United States,11163590312.0,11747.50331,,6280.192,,1667.545,628.528,747.065,251.446,18.45922643,15.72487442,1.627764531,6280.192,1.870564357,26.97020518,6850.0,0.868048647,6.670894775,
ZBRA,Zebra Technologies Corp,Electronic Equipment & Instruments,Information Technology,United States,20169770403.0,20982.7704,841.3233471,5627.0,,2628.0,979.0,1205.0,813.0,21.26290923,17.41308747,3.609299819,5627.0,3.728944447,23.51716444,9800.0,32.64430577,14.87471121,
SKT,Tanger Factory Outlet Centers Inc,Retail REITs,Real Estate,United States,1742378447.0,3088.937447,,426.525,,,102.975,218.494,1324.695,28.74781331,14.1374017,3.943645991,426.525,7.242101746,27.82163535,310.0,-0.906141868,2.137741047,
WTTR,Select Energy Services Inc,Oil & Gas Equipment & Services,Energy,United States,954181890.5,935.7128905,,764.62,,20.86,-65.54,40.159,-18.469,,23.30020395,1.034208711,764.62,1.223761987,,3000.0,-7.125638207,-5.522350972,
PRMW,Primo Water Corp,Soft Drinks,Consumer Staples,United States,2188625628.0,3802.125628,-38.14603175,2073.3,,1157.4,103.0,372.9,1613.5,,,,2073.3,,,8800.0,,-0.154343317,
SIG,Signet Jewelers Ltd,Specialty Stores,Consumer Discretionary,United States,3840449675.0,4434.249675,,5226.9,,1732.5,-57.7,552.8,498.8,5.592445043,3.185981948,0.531220733,7201.2,0.615765383,6.40567113,21700.0,49.43422495,-0.290803344,
AYX,Alteryx Inc,Application Software,Information Technology,United States,3809296804.0,4012.201804,,536.135,,480.382,-136.265,-99.31,202.905,,,7.065130319,536.135,7.483566273,,1993.0,,-33.51413357,
LTC,LTC Properties Inc,Health Care REITs,Real Estate,United States,1449141591.0,2175.112591,,155.322,,,74.72,113.016,717.558,29.11017922,19.24605889,9.249162186,155.322,14.0038925,30.15040577,25.0,-5.560097701,35.9646412,
OHI,Omega Healthcare Investors Inc,Health Care REITs,Real Estate,United States,6948601956.0,12382.99196,,1062.809,,,519.702,861.716,5233.002,23.82710083,14.37015438,6.476527806,1062.809,11.65119222,15.28802592,70.0,-41.12224175,39.21109061,
