Column1;#N/A Requesting Data...;#N/A Requesting Data..._1;#N/A Requesting Data..._2;#N/A Requesting Data..._3;#N/A Requesting Data..._4;#N/A Requesting Data..._5;#N/A Requesting Data..._6;#N/A Requesting Data..._7;#N/A Requesting Data..._8;#N/A Requesting Data..._9;#N/A Requesting Data..._10;#N/A Requesting Data..._11;#N/A Requesting Data..._12;#N/A Requesting Data..._13;#N/A Requesting Data..._14;Colonne1
;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;Datetime of data import
DXC UN Equity;7587343585;11561,34359;-229,5902141;17729;#N/A N/A;3643;1060;3624;4000;#N/A N/A;5,981036516;0,453652356;16841;0,686499827;9,795384551;
DXCM UW Equity;41722997196;40908,5972;#N/A N/A;1926,7;#N/A N/A;1280,1;299,5;385;-859,4;110,803351;89,02850315;17,91116919;2319,2;17,63909848;208,4248263;
EA UW Equity;37517328250;37740,32825;874,0353982;5629;#N/A N/A;4135;1046;1314;-4212;34,6878017;27,13179601;5,956178453;6396;5,900614173;42,80147474;
EBAY UW Equity;37604047125;41148,04712;5893,69883;10271;#N/A N/A;7798;2711;3506;4203;14,12565984;11,97208238;3,655748582;11060;3,720438257;15,11587023;
ECL UN Equity;54290176311;59749,77631;-946,6472361;11790,2;#N/A N/A;4884,4;1395,7;2208,4;5852,5;36,72389448;23,67265306;4,357815143;12433,8;4,805431671;43,38014747;
ED UN Equity;30581578227;54893,57823;2045,680713;12246;#N/A N/A;9963;2654;4659;23646;20,54159565;11,61277305;2,253558433;13221;4,151998958;21,45441772;
EFX UN Equity;29251084195;32711,4842;628,8418564;4127,5;#N/A N/A;2390,1;676,6;1075,9;2693,8;30,99733175;21,60171974;6,097736651;4789,2;6,830260627;34,90203665;
EIX UN Equity;23854439394;55158,43939;#N/A N/A;13578;#N/A N/A;8646;1217;3404;24060;33,42935721;14,05310558;1,617036234;14731;3,74437848;11,68945933;
EL UN Equity;1,12228E+11;117100,998;3019,317022;16215;#N/A N/A;12381;2618;3739;3159;41,11692345;33,21071979;6,638339933;17045;6,870108417;45,46578824;
EMN UN Equity;15988982381;20688,98238;675,445283;10476;#N/A N/A;2500;1281;1819;4700;16,06599292;11,37382209;1,531468768;10476;1,974893316;13,38865016;
